benchmark,db_type,query_number,run_idx,elapsed_sec,error
tpch,postgres,21,1,3.570683002471924,
tpch,postgres,21,2,3.3707704544067383,
tpch,postgres,21,3,3.259779930114746,
tpch,postgres,21,4,3.213148355484009,
tpch,postgres,21,5,3.208338499069214,
tpch,postgres,21,6,3.19853138923645,
tpch,postgres,21,7,3.2013773918151855,
tpch,postgres,21,8,3.2003769874572754,
tpch,postgres,21,9,3.2208023071289062,
tpch,postgres,21,10,3.2263882160186768,
tpch,postgres,21,11,3.2226805686950684,
tpch,postgres,21,12,3.2057271003723145,
tpch,postgres,21,13,3.2367470264434814,
tpch,postgres,21,14,3.2158100605010986,
tpch,postgres,21,15,3.2671408653259277,
tpch,postgres,21,16,0.9780166149139404,
tpch,postgres,21,17,0.9820594787597656,
tpch,postgres,21,18,0.9606797695159912,
tpch,postgres,21,19,0.9089527130126953,
tpch,postgres,21,20,0.9237663745880127,
tpch,postgres,21,21,0.9522190093994141,
tpch,postgres,21,22,0.9634900093078613,
tpch,postgres,21,23,0.9614589214324951,
tpch,postgres,21,24,0.9586477279663086,
tpch,postgres,21,25,0.9721558094024658,
tpch,postgres,21,26,0.9610302448272705,
tpch,postgres,21,27,0.9368510246276855,
tpch,postgres,21,28,0.9600260257720947,
tpch,postgres,21,29,3.381389617919922,
tpch,postgres,21,30,2.9693832397460938,
tpch,postgres,21,31,2.876171112060547,
tpch,postgres,21,32,2.880730628967285,
tpch,postgres,21,33,2.797734498977661,
tpch,postgres,21,34,2.762834310531616,
tpch,postgres,21,35,2.858125925064087,
tpch,postgres,21,36,2.888411283493042,
tpch,postgres,21,37,2.87493634223938,
tpch,postgres,21,38,2.8896396160125732,
tpch,postgres,21,39,2.8186087608337402,
tpch,postgres,21,40,2.6192104816436768,
tpch,postgres,21,41,2.6660056114196777,
tpch,postgres,21,42,2.678701162338257,
tpch,postgres,21,43,2.694227695465088,
tpch,postgres,21,44,2.666898488998413,
tpch,postgres,21,45,2.619734048843384,
tpch,postgres,21,46,2.6430766582489014,
tpch,postgres,21,47,2.5534322261810303,
tpch,postgres,21,48,2.7946245670318604,
tpch,postgres,21,49,2.6717488765716553,
tpch,postgres,21,50,2.670931100845337,
tpch,postgres,22,1,0.11946606636047363,
tpch,postgres,22,2,0.10773110389709473,
tpch,postgres,22,3,0.10833120346069336,
tpch,postgres,22,4,0.10855507850646973,
tpch,postgres,22,5,0.10822772979736328,
tpch,postgres,22,6,0.10956096649169922,
tpch,postgres,22,7,0.10912108421325684,
tpch,postgres,22,8,0.10954642295837402,
tpch,postgres,22,9,0.10866165161132812,
tpch,postgres,22,10,0.10897397994995117,
tpch,postgres,22,11,0.10959982872009277,
tpch,postgres,22,12,0.11175918579101562,
tpch,postgres,22,13,0.11173176765441895,
tpch,postgres,22,14,0.11163806915283203,
tpch,postgres,22,15,0.11192631721496582,
tpch,postgres,22,16,0.1096963882446289,
tpch,postgres,22,17,0.10992288589477539,
tpch,postgres,22,18,0.10990476608276367,
tpch,postgres,22,19,0.10849571228027344,
tpch,postgres,22,20,0.10841035842895508,
tpch,postgres,22,21,0.10908746719360352,
tpch,postgres,22,22,0.10814094543457031,
tpch,postgres,22,23,0.1096043586730957,
tpch,postgres,22,24,0.10867118835449219,
tpch,postgres,22,25,0.10862541198730469,
tpch,postgres,22,26,0.1081995964050293,
tpch,postgres,22,27,0.10792040824890137,
tpch,postgres,22,28,0.11359214782714844,
tpch,postgres,22,29,0.11474943161010742,
tpch,postgres,22,30,0.10819292068481445,
tpch,postgres,22,31,0.11408376693725586,
tpch,postgres,22,32,0.11371994018554688,
tpch,postgres,22,33,0.11441683769226074,
tpch,postgres,22,34,0.10965871810913086,
tpch,postgres,22,35,0.10811424255371094,
tpch,postgres,22,36,0.10829496383666992,
tpch,postgres,22,37,0.10825943946838379,
tpch,postgres,22,38,0.10813307762145996,
tpch,postgres,22,39,0.11205697059631348,
tpch,postgres,22,40,0.1118326187133789,
tpch,postgres,22,41,0.11171913146972656,
tpch,postgres,22,42,0.1115877628326416,
tpch,postgres,22,43,0.11116361618041992,
tpch,postgres,22,44,0.10905861854553223,
tpch,postgres,22,45,0.10882830619812012,
tpch,postgres,22,46,0.1086125373840332,
tpch,postgres,22,47,0.10842251777648926,
tpch,postgres,22,48,0.12543678283691406,
tpch,postgres,22,49,0.1354975700378418,
tpch,postgres,22,50,0.1271347999572754,
