benchmark,db_type,query_number,run_idx,elapsed_sec,error
tpch,postgres,11,1,0.2762126922607422,
tpch,postgres,11,2,0.12921810150146484,
tpch,postgres,11,3,0.22549939155578613,
tpch,postgres,11,4,0.22494721412658691,
tpch,postgres,11,5,0.1005849838256836,
tpch,postgres,11,6,0.10138487815856934,
tpch,postgres,11,7,0.10107231140136719,
tpch,postgres,11,8,0.10002446174621582,
tpch,postgres,11,9,0.10151910781860352,
tpch,postgres,11,10,0.10003423690795898,
tpch,postgres,12,1,0.8106887340545654,
tpch,postgres,12,2,0.7514631748199463,
tpch,postgres,12,3,0.9272234439849854,
tpch,postgres,12,4,0.7358651161193848,
tpch,postgres,12,5,0.9274904727935791,
tpch,postgres,12,6,0.9296841621398926,
tpch,postgres,12,7,0.9312849044799805,
tpch,postgres,12,8,0.7741084098815918,
tpch,postgres,12,9,0.7386410236358643,
tpch,postgres,12,10,0.7331368923187256,
