benchmark,db_type,query_number,run_idx,elapsed_sec,error
tpch,postgres,7,1,1.3578851222991943,
tpch,postgres,7,2,1.2753207683563232,
tpch,postgres,7,3,1.4400277137756348,
tpch,postgres,7,4,1.4326074123382568,
tpch,postgres,7,5,1.4433627128601074,
tpch,postgres,7,6,1.2917306423187256,
tpch,postgres,7,7,1.4350543022155762,
tpch,postgres,7,8,1.441589593887329,
tpch,postgres,7,9,1.2823491096496582,
tpch,postgres,7,10,1.357651710510254,
tpch,postgres,8,1,1.3740143775939941,
tpch,postgres,8,2,1.5334124565124512,
tpch,postgres,8,3,1.4180586338043213,
tpch,postgres,8,4,1.3933615684509277,
tpch,postgres,8,5,1.3925955295562744,
tpch,postgres,8,6,1.3785901069641113,
tpch,postgres,8,7,1.4021217823028564,
tpch,postgres,8,8,1.5634191036224365,
tpch,postgres,8,9,1.3940439224243164,
tpch,postgres,8,10,1.3133413791656494,
