benchmark,db_type,query_number,run_idx,elapsed_sec,error
tpch,postgres,13,1,1.1437294483184814,
tpch,postgres,13,2,0.9308822154998779,
tpch,postgres,13,3,0.9417941570281982,
tpch,postgres,13,4,0.9875648021697998,
tpch,postgres,13,5,1.0903687477111816,
tpch,postgres,13,6,0.9412245750427246,
tpch,postgres,13,7,1.103147268295288,
tpch,postgres,13,8,1.152580976486206,
tpch,postgres,13,9,0.7903614044189453,
tpch,postgres,13,10,1.0218837261199951,
tpch,postgres,14,1,0.39118194580078125,
tpch,postgres,14,2,0.4590780735015869,
tpch,postgres,14,3,0.4032166004180908,
tpch,postgres,14,4,0.32025790214538574,
tpch,postgres,14,5,0.2836008071899414,
tpch,postgres,14,6,0.332456111907959,
tpch,postgres,14,7,0.2905161380767822,
tpch,postgres,14,8,0.34737205505371094,
tpch,postgres,14,9,0.27779674530029297,
tpch,postgres,14,10,0.31682491302490234,
