benchmark,db_type,query_number,run_idx,elapsed_sec,error
tpch,mssql,7,1,,"(pyodbc.OperationalError) ('HYT00', '[HYT00] [Microsoft][ODBC Driver 17 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/e3q8)"
tpch,mssql,7,2,80.18491697311401,
tpch,mssql,7,3,0.6250045299530029,
tpch,mssql,7,4,0.4685533046722412,
tpch,mssql,7,5,0.5981006622314453,
tpch,mssql,7,6,0.5732936859130859,
tpch,mssql,7,7,0.5346715450286865,
tpch,mssql,7,8,0.49408960342407227,
tpch,mssql,7,9,0.5270817279815674,
tpch,mssql,7,10,0.4177258014678955,
tpch,mssql,7,11,0.5111575126647949,
tpch,mssql,7,12,0.39098525047302246,
tpch,mssql,7,13,0.43201470375061035,
tpch,mssql,7,14,0.3773655891418457,
tpch,mssql,7,15,0.3617403507232666,
tpch,mssql,7,16,0.5164263248443604,
tpch,mssql,7,17,0.3490612506866455,
tpch,mssql,7,18,0.41971373558044434,
tpch,mssql,7,19,0.4258699417114258,
tpch,mssql,7,20,0.3408794403076172,
tpch,mssql,7,21,0.398242712020874,
tpch,mssql,7,22,0.3441276550292969,
tpch,mssql,7,23,0.3831813335418701,
tpch,mssql,7,24,0.36720871925354004,
tpch,mssql,7,25,0.34224462509155273,
tpch,mssql,7,26,0.31667470932006836,
tpch,mssql,7,27,0.3240077495574951,
tpch,mssql,7,28,0.3490629196166992,
tpch,mssql,7,29,0.3347949981689453,
tpch,mssql,7,30,0.30531978607177734,
tpch,mssql,7,31,0.3443896770477295,
tpch,mssql,7,32,0.31598424911499023,
tpch,mssql,7,33,0.3098790645599365,
tpch,mssql,7,34,0.30963706970214844,
tpch,mssql,7,35,0.33371400833129883,
tpch,mssql,7,36,0.25668978691101074,
tpch,mssql,7,37,0.3173689842224121,
tpch,mssql,7,38,0.3893260955810547,
tpch,mssql,7,39,0.34548330307006836,
tpch,mssql,7,40,0.3565530776977539,
tpch,mssql,7,41,0.4028127193450928,
tpch,mssql,7,42,0.38424086570739746,
tpch,mssql,7,43,0.41039586067199707,
tpch,mssql,7,44,0.353071928024292,
tpch,mssql,7,45,0.33083319664001465,
tpch,mssql,7,46,0.37320971488952637,
tpch,mssql,7,47,0.2909533977508545,
tpch,mssql,7,48,0.31728363037109375,
tpch,mssql,7,49,0.3451659679412842,
tpch,mssql,7,50,0.42110395431518555,
tpch,mssql,7,51,0.4027702808380127,
tpch,mssql,7,52,0.4042034149169922,
tpch,mssql,7,53,0.4505743980407715,
tpch,mssql,7,54,0.34635281562805176,
tpch,mssql,7,55,0.32261157035827637,
tpch,mssql,7,56,0.2717409133911133,
tpch,mssql,7,57,0.3614330291748047,
tpch,mssql,7,58,0.31671953201293945,
tpch,mssql,7,59,0.3184549808502197,
tpch,mssql,7,60,0.25684571266174316,
tpch,mssql,7,61,0.2775893211364746,
tpch,mssql,7,62,0.24348020553588867,
tpch,mssql,7,63,0.346449613571167,
tpch,mssql,7,64,0.3446202278137207,
tpch,mssql,7,65,0.32341861724853516,
tpch,mssql,7,66,0.21675920486450195,
tpch,mssql,7,67,0.3245809078216553,
tpch,mssql,7,68,0.31244349479675293,
tpch,mssql,7,69,0.32689380645751953,
tpch,mssql,7,70,0.21393322944641113,
tpch,mssql,7,71,0.35894346237182617,
tpch,mssql,7,72,0.27521276473999023,
tpch,mssql,7,73,0.35813283920288086,
tpch,mssql,7,74,0.3067812919616699,
tpch,mssql,7,75,0.2536907196044922,
tpch,mssql,7,76,0.3097212314605713,
tpch,mssql,7,77,0.2846040725708008,
tpch,mssql,7,78,0.29361534118652344,
tpch,mssql,7,79,0.24263405799865723,
tpch,mssql,7,80,0.30404114723205566,
tpch,mssql,7,81,0.26829981803894043,
tpch,mssql,7,82,0.20981478691101074,
tpch,mssql,7,83,0.34641313552856445,
tpch,mssql,7,84,0.26871800422668457,
tpch,mssql,7,85,0.21719002723693848,
tpch,mssql,7,86,0.3024768829345703,
tpch,mssql,7,87,0.28897857666015625,
tpch,mssql,7,88,0.17804193496704102,
tpch,mssql,7,89,0.29806065559387207,
tpch,mssql,7,90,0.30558300018310547,
tpch,mssql,7,91,0.3254883289337158,
tpch,mssql,7,92,0.2399463653564453,
tpch,mssql,7,93,0.34674739837646484,
tpch,mssql,7,94,0.38677978515625,
tpch,mssql,7,95,0.35152554512023926,
tpch,mssql,7,96,0.3544619083404541,
tpch,mssql,7,97,0.2908179759979248,
tpch,mssql,7,98,0.32945966720581055,
tpch,mssql,7,99,0.43701839447021484,
tpch,mssql,7,100,0.35016345977783203,
tpch,mssql,8,1,3.478834390640259,
tpch,mssql,8,2,0.7179429531097412,
tpch,mssql,8,3,0.6288161277770996,
tpch,mssql,8,4,0.5971157550811768,
tpch,mssql,8,5,0.5737318992614746,
tpch,mssql,8,6,0.5101330280303955,
tpch,mssql,8,7,0.4646768569946289,
tpch,mssql,8,8,0.3827672004699707,
tpch,mssql,8,9,0.42769455909729004,
tpch,mssql,8,10,0.3965904712677002,
tpch,mssql,8,11,0.4124279022216797,
tpch,mssql,8,12,0.426084041595459,
tpch,mssql,8,13,0.40225744247436523,
tpch,mssql,8,14,0.362255334854126,
tpch,mssql,8,15,0.4757826328277588,
tpch,mssql,8,16,0.521622896194458,
tpch,mssql,8,17,0.48090386390686035,
tpch,mssql,8,18,0.4354238510131836,
tpch,mssql,8,19,0.3767092227935791,
tpch,mssql,8,20,0.4571056365966797,
tpch,mssql,8,21,0.4024181365966797,
tpch,mssql,8,22,0.41641855239868164,
tpch,mssql,8,23,0.3754446506500244,
tpch,mssql,8,24,0.22491049766540527,
tpch,mssql,8,25,0.24104952812194824,
tpch,mssql,8,26,0.18051767349243164,
tpch,mssql,8,27,0.22823619842529297,
tpch,mssql,8,28,0.29888367652893066,
tpch,mssql,8,29,0.28061485290527344,
tpch,mssql,8,30,0.24070286750793457,
tpch,mssql,8,31,0.3237001895904541,
tpch,mssql,8,32,0.32347655296325684,
tpch,mssql,8,33,0.2826089859008789,
tpch,mssql,8,34,0.24062633514404297,
tpch,mssql,8,35,0.31780576705932617,
tpch,mssql,8,36,0.3204827308654785,
tpch,mssql,8,37,0.4395160675048828,
tpch,mssql,8,38,0.4441237449645996,
tpch,mssql,8,39,0.32985925674438477,
tpch,mssql,8,40,0.4015769958496094,
tpch,mssql,8,41,0.4435770511627197,
tpch,mssql,8,42,0.39957761764526367,
tpch,mssql,8,43,0.4788355827331543,
tpch,mssql,8,44,0.4549076557159424,
tpch,mssql,8,45,0.345501184463501,
tpch,mssql,8,46,0.4913485050201416,
tpch,mssql,8,47,0.4666917324066162,
tpch,mssql,8,48,0.3400135040283203,
tpch,mssql,8,49,0.47075986862182617,
tpch,mssql,8,50,0.4920496940612793,
tpch,mssql,8,51,0.4815208911895752,
tpch,mssql,8,52,0.3724029064178467,
tpch,mssql,8,53,0.5022227764129639,
tpch,mssql,8,54,0.4903402328491211,
tpch,mssql,8,55,0.3604404926300049,
tpch,mssql,8,56,0.45910143852233887,
tpch,mssql,8,57,0.4548070430755615,
tpch,mssql,8,58,0.4559164047241211,
tpch,mssql,8,59,0.41028571128845215,
tpch,mssql,8,60,0.511422872543335,
tpch,mssql,8,61,0.4469437599182129,
tpch,mssql,8,62,0.37006688117980957,
tpch,mssql,8,63,0.48850154876708984,
tpch,mssql,8,64,0.4654810428619385,
tpch,mssql,8,65,0.38439297676086426,
tpch,mssql,8,66,0.48956918716430664,
tpch,mssql,8,67,0.473696231842041,
tpch,mssql,8,68,0.4655764102935791,
tpch,mssql,8,69,0.386507511138916,
tpch,mssql,8,70,0.4295666217803955,
tpch,mssql,8,71,0.40548157691955566,
tpch,mssql,8,72,0.4969794750213623,
tpch,mssql,8,73,0.3348996639251709,
tpch,mssql,8,74,0.5095930099487305,
tpch,mssql,8,75,0.4909839630126953,
tpch,mssql,8,76,0.5357298851013184,
tpch,mssql,8,77,0.5189733505249023,
tpch,mssql,8,78,0.6081812381744385,
tpch,mssql,8,79,0.6745908260345459,
tpch,mssql,8,80,0.6065573692321777,
tpch,mssql,8,81,0.5637569427490234,
tpch,mssql,8,82,0.5136191844940186,
tpch,mssql,8,83,0.42097949981689453,
tpch,mssql,8,84,0.471635103225708,
tpch,mssql,8,85,0.4916238784790039,
tpch,mssql,8,86,0.4400804042816162,
tpch,mssql,8,87,0.4592726230621338,
tpch,mssql,8,88,0.4763050079345703,
tpch,mssql,8,89,0.44491147994995117,
tpch,mssql,8,90,0.4712374210357666,
tpch,mssql,8,91,0.4586756229400635,
tpch,mssql,8,92,0.4318716526031494,
tpch,mssql,8,93,0.6214804649353027,
tpch,mssql,8,94,0.45974302291870117,
tpch,mssql,8,95,0.4399867057800293,
tpch,mssql,8,96,0.4314568042755127,
tpch,mssql,8,97,0.46936559677124023,
tpch,mssql,8,98,0.4700644016265869,
tpch,mssql,8,99,0.5118396282196045,
tpch,mssql,8,100,0.4897117614746094,
