benchmark,db_type,query_number,run_idx,elapsed_sec,error
tpch,postgres,9,1,0.6837875843048096,
tpch,postgres,9,2,0.5414278507232666,
tpch,postgres,9,3,0.5424869060516357,
tpch,postgres,9,4,0.5510303974151611,
tpch,postgres,9,5,0.5472238063812256,
tpch,postgres,9,6,0.5434281826019287,
tpch,postgres,9,7,0.5536057949066162,
tpch,postgres,9,8,0.553431510925293,
tpch,postgres,9,9,0.5759084224700928,
tpch,postgres,9,10,0.5449597835540771,
tpch,postgres,9,11,0.5525722503662109,
tpch,postgres,9,12,0.5466952323913574,
tpch,postgres,9,13,0.5517985820770264,
tpch,postgres,9,14,0.5437157154083252,
tpch,postgres,9,15,0.5441789627075195,
tpch,postgres,9,16,0.5476155281066895,
tpch,postgres,9,17,0.5577023029327393,
tpch,postgres,9,18,0.5452477931976318,
tpch,postgres,9,19,0.5491056442260742,
tpch,postgres,9,20,0.5472495555877686,
tpch,postgres,9,21,0.555875301361084,
tpch,postgres,9,22,0.5551974773406982,
tpch,postgres,9,23,0.5527043342590332,
tpch,postgres,9,24,0.5498371124267578,
tpch,postgres,9,25,0.5500156879425049,
tpch,postgres,9,26,0.5532641410827637,
tpch,postgres,9,27,0.5519444942474365,
tpch,postgres,9,28,0.5505251884460449,
tpch,postgres,9,29,0.5537528991699219,
tpch,postgres,9,30,0.5537683963775635,
tpch,postgres,9,31,0.5489485263824463,
tpch,postgres,9,32,0.5570700168609619,
tpch,postgres,9,33,0.5571753978729248,
tpch,postgres,9,34,0.5625219345092773,
tpch,postgres,9,35,0.5955662727355957,
tpch,postgres,9,36,0.5521392822265625,
tpch,postgres,9,37,0.5557899475097656,
tpch,postgres,9,38,0.5497956275939941,
tpch,postgres,9,39,0.5543861389160156,
tpch,postgres,9,40,0.5504236221313477,
tpch,postgres,9,41,0.5541718006134033,
tpch,postgres,9,42,0.5546016693115234,
tpch,postgres,9,43,0.546687126159668,
tpch,postgres,9,44,0.5479550361633301,
tpch,postgres,9,45,0.5539677143096924,
tpch,postgres,9,46,0.5469856262207031,
tpch,postgres,9,47,0.5535609722137451,
tpch,postgres,9,48,0.5480751991271973,
tpch,postgres,9,49,0.5549657344818115,
tpch,postgres,9,50,0.5486350059509277,
tpch,postgres,10,1,0.9283816814422607,
tpch,postgres,10,2,0.9012689590454102,
tpch,postgres,10,3,0.8763236999511719,
tpch,postgres,10,4,0.8748123645782471,
tpch,postgres,10,5,0.9113707542419434,
tpch,postgres,10,6,0.8956940174102783,
tpch,postgres,10,7,0.8952343463897705,
tpch,postgres,10,8,1.103724718093872,
tpch,postgres,10,9,0.9077577590942383,
tpch,postgres,10,10,0.9132475852966309,
tpch,postgres,10,11,0.8975417613983154,
tpch,postgres,10,12,0.9164144992828369,
tpch,postgres,10,13,0.9052834510803223,
tpch,postgres,10,14,0.9118525981903076,
tpch,postgres,10,15,0.8968663215637207,
tpch,postgres,10,16,0.8949370384216309,
tpch,postgres,10,17,0.8973174095153809,
tpch,postgres,10,18,0.9145896434783936,
tpch,postgres,10,19,0.8864703178405762,
tpch,postgres,10,20,0.9133012294769287,
tpch,postgres,10,21,0.8974630832672119,
tpch,postgres,10,22,0.9396002292633057,
tpch,postgres,10,23,0.8973708152770996,
tpch,postgres,10,24,0.8941464424133301,
tpch,postgres,10,25,0.8967995643615723,
tpch,postgres,10,26,0.8958287239074707,
tpch,postgres,10,27,0.9061870574951172,
tpch,postgres,10,28,0.9129209518432617,
tpch,postgres,10,29,0.9061205387115479,
tpch,postgres,10,30,1.225583553314209,
tpch,postgres,10,31,0.8962159156799316,
tpch,postgres,10,32,0.8896851539611816,
tpch,postgres,10,33,0.8939669132232666,
tpch,postgres,10,34,0.889284610748291,
tpch,postgres,10,35,0.8936941623687744,
tpch,postgres,10,36,0.8865559101104736,
tpch,postgres,10,37,0.8846502304077148,
tpch,postgres,10,38,0.8893404006958008,
tpch,postgres,10,39,0.8788774013519287,
tpch,postgres,10,40,0.9230983257293701,
tpch,postgres,10,41,0.8852739334106445,
tpch,postgres,10,42,0.867823600769043,
tpch,postgres,10,43,0.8685348033905029,
tpch,postgres,10,44,0.9387168884277344,
tpch,postgres,10,45,0.9048116207122803,
tpch,postgres,10,46,0.8804478645324707,
tpch,postgres,10,47,1.061859130859375,
tpch,postgres,10,48,0.9385020732879639,
tpch,postgres,10,49,0.8851041793823242,
tpch,postgres,10,50,0.8742318153381348,
tpch,postgres,11,1,0.2641923427581787,
tpch,postgres,11,2,0.1215522289276123,
tpch,postgres,11,3,0.1201777458190918,
tpch,postgres,11,4,0.11481261253356934,
tpch,postgres,11,5,0.11364102363586426,
tpch,postgres,11,6,0.118133544921875,
tpch,postgres,11,7,0.11946725845336914,
tpch,postgres,11,8,0.12111759185791016,
tpch,postgres,11,9,0.12092828750610352,
tpch,postgres,11,10,0.12228560447692871,
tpch,postgres,11,11,0.11342954635620117,
tpch,postgres,11,12,0.11743021011352539,
tpch,postgres,11,13,0.12072038650512695,
tpch,postgres,11,14,0.12099957466125488,
tpch,postgres,11,15,0.12343835830688477,
tpch,postgres,11,16,0.11973118782043457,
tpch,postgres,11,17,0.12155508995056152,
tpch,postgres,11,18,0.11805176734924316,
tpch,postgres,11,19,0.12061548233032227,
tpch,postgres,11,20,0.11897516250610352,
tpch,postgres,11,21,0.1195228099822998,
tpch,postgres,11,22,0.11928081512451172,
tpch,postgres,11,23,0.11938786506652832,
tpch,postgres,11,24,0.1220388412475586,
tpch,postgres,11,25,0.11860823631286621,
tpch,postgres,11,26,0.1189112663269043,
tpch,postgres,11,27,0.11910700798034668,
tpch,postgres,11,28,0.11970162391662598,
tpch,postgres,11,29,0.11893606185913086,
tpch,postgres,11,30,0.11931371688842773,
tpch,postgres,11,31,0.1187586784362793,
tpch,postgres,11,32,0.11899304389953613,
tpch,postgres,11,33,0.11868762969970703,
tpch,postgres,11,34,0.11945271492004395,
tpch,postgres,11,35,0.11905026435852051,
tpch,postgres,11,36,0.11929726600646973,
tpch,postgres,11,37,0.11816716194152832,
tpch,postgres,11,38,0.11728835105895996,
tpch,postgres,11,39,0.11974596977233887,
tpch,postgres,11,40,0.11937093734741211,
tpch,postgres,11,41,0.11911225318908691,
tpch,postgres,11,42,0.11889362335205078,
tpch,postgres,11,43,0.11899447441101074,
tpch,postgres,11,44,0.12469601631164551,
tpch,postgres,11,45,0.11840701103210449,
tpch,postgres,11,46,0.1185150146484375,
tpch,postgres,11,47,0.11905837059020996,
tpch,postgres,11,48,0.12217164039611816,
tpch,postgres,11,49,0.11923885345458984,
tpch,postgres,11,50,0.11948132514953613,
tpch,postgres,12,1,0.7340302467346191,
tpch,postgres,12,2,0.7222781181335449,
tpch,postgres,12,3,0.7271728515625,
tpch,postgres,12,4,0.7281703948974609,
tpch,postgres,12,5,0.726245641708374,
tpch,postgres,12,6,0.7249951362609863,
tpch,postgres,12,7,0.7170524597167969,
tpch,postgres,12,8,0.7176635265350342,
tpch,postgres,12,9,0.7261054515838623,
tpch,postgres,12,10,0.8895864486694336,
tpch,postgres,12,11,0.7040791511535645,
tpch,postgres,12,12,0.6676137447357178,
tpch,postgres,12,13,0.6800811290740967,
tpch,postgres,12,14,0.6665818691253662,
tpch,postgres,12,15,0.666989803314209,
tpch,postgres,12,16,0.6668400764465332,
tpch,postgres,12,17,0.6721794605255127,
tpch,postgres,12,18,0.6739044189453125,
tpch,postgres,12,19,0.6736950874328613,
tpch,postgres,12,20,0.6714704036712646,
tpch,postgres,12,21,0.6728932857513428,
tpch,postgres,12,22,0.6758546829223633,
tpch,postgres,12,23,0.6703238487243652,
tpch,postgres,12,24,0.6784319877624512,
tpch,postgres,12,25,0.6790847778320312,
tpch,postgres,12,26,0.6780040264129639,
tpch,postgres,12,27,0.690230131149292,
tpch,postgres,12,28,0.6800570487976074,
tpch,postgres,12,29,0.6671292781829834,
tpch,postgres,12,30,0.6701498031616211,
tpch,postgres,12,31,0.6686854362487793,
tpch,postgres,12,32,0.66721510887146,
tpch,postgres,12,33,0.6728105545043945,
tpch,postgres,12,34,0.669227123260498,
tpch,postgres,12,35,0.6771080493927002,
tpch,postgres,12,36,0.6893446445465088,
tpch,postgres,12,37,0.7026214599609375,
tpch,postgres,12,38,0.7187535762786865,
tpch,postgres,12,39,0.6719074249267578,
tpch,postgres,12,40,0.6712837219238281,
tpch,postgres,12,41,0.6700351238250732,
tpch,postgres,12,42,0.6790058612823486,
tpch,postgres,12,43,0.6854689121246338,
tpch,postgres,12,44,0.6750161647796631,
tpch,postgres,12,45,0.6730151176452637,
tpch,postgres,12,46,0.6771349906921387,
tpch,postgres,12,47,0.6687383651733398,
tpch,postgres,12,48,0.679589033126831,
tpch,postgres,12,49,0.6770510673522949,
tpch,postgres,12,50,0.682523250579834,
