benchmark,db_type,query_number,run_idx,elapsed_sec,error
tpch,mssql,17,1,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,2,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,3,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,4,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,5,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,6,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,7,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,8,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,9,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,10,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,11,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,12,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,13,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,14,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,15,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,16,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,17,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,18,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,19,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,20,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,21,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,22,,"(pyodbc.ProgrammingError) ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Cannot open database ""tpch"" requested by the login. The login failed. (4060) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/f405)"
tpch,mssql,17,23,,"(pyodbc.OperationalError) ('HYT00', '[HYT00] [Microsoft][ODBC Driver 17 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/e3q8)"
tpch,mssql,17,24,59.12712359428406,
tpch,mssql,17,25,0.257526159286499,
tpch,mssql,17,26,0.16037273406982422,
tpch,mssql,17,27,0.16155648231506348,
tpch,mssql,17,28,0.26530981063842773,
tpch,mssql,17,29,0.15356802940368652,
tpch,mssql,17,30,0.24561309814453125,
tpch,mssql,17,31,0.18165302276611328,
tpch,mssql,17,32,0.17948102951049805,
tpch,mssql,17,33,0.22074007987976074,
tpch,mssql,17,34,0.17637968063354492,
tpch,mssql,17,35,0.2147972583770752,
tpch,mssql,17,36,0.17029047012329102,
tpch,mssql,17,37,0.15273261070251465,
tpch,mssql,17,38,0.2574799060821533,
tpch,mssql,17,39,0.15985441207885742,
tpch,mssql,17,40,0.18803906440734863,
tpch,mssql,17,41,0.2078394889831543,
tpch,mssql,17,42,0.16938352584838867,
tpch,mssql,17,43,0.16542315483093262,
tpch,mssql,17,44,0.23205018043518066,
tpch,mssql,17,45,0.16308808326721191,
tpch,mssql,17,46,0.26464343070983887,
tpch,mssql,17,47,0.18473124504089355,
tpch,mssql,17,48,0.27672910690307617,
tpch,mssql,17,49,0.21390914916992188,
tpch,mssql,17,50,0.16087841987609863,
tpch,mssql,18,1,35.203890800476074,
tpch,mssql,18,2,0.835273265838623,
tpch,mssql,18,3,0.38457584381103516,
tpch,mssql,18,4,0.441516637802124,
tpch,mssql,18,5,0.4352126121520996,
tpch,mssql,18,6,0.33246302604675293,
tpch,mssql,18,7,0.4562981128692627,
tpch,mssql,18,8,0.4305276870727539,
tpch,mssql,18,9,0.36316728591918945,
tpch,mssql,18,10,0.5394155979156494,
tpch,mssql,18,11,0.3775670528411865,
tpch,mssql,18,12,0.41732192039489746,
tpch,mssql,18,13,0.3846404552459717,
tpch,mssql,18,14,0.400066614151001,
tpch,mssql,18,15,0.37781286239624023,
tpch,mssql,18,16,0.44296717643737793,
tpch,mssql,18,17,0.42443132400512695,
tpch,mssql,18,18,0.4298717975616455,
tpch,mssql,18,19,0.4226188659667969,
tpch,mssql,18,20,0.4360473155975342,
tpch,mssql,18,21,0.4194674491882324,
tpch,mssql,18,22,0.4513671398162842,
tpch,mssql,18,23,0.430955171585083,
tpch,mssql,18,24,0.44618821144104004,
tpch,mssql,18,25,0.453204870223999,
tpch,mssql,18,26,0.4876828193664551,
tpch,mssql,18,27,0.3150477409362793,
tpch,mssql,18,28,0.4650716781616211,
tpch,mssql,18,29,0.39693570137023926,
tpch,mssql,18,30,0.41451311111450195,
tpch,mssql,18,31,0.44897031784057617,
tpch,mssql,18,32,0.3486607074737549,
tpch,mssql,18,33,0.42131972312927246,
tpch,mssql,18,34,0.29036760330200195,
tpch,mssql,18,35,0.39792513847351074,
tpch,mssql,18,36,0.2951481342315674,
tpch,mssql,18,37,0.34610772132873535,
tpch,mssql,18,38,0.3392465114593506,
tpch,mssql,18,39,0.35021448135375977,
tpch,mssql,18,40,0.34452009201049805,
tpch,mssql,18,41,0.4362480640411377,
tpch,mssql,18,42,0.4021470546722412,
tpch,mssql,18,43,0.42208099365234375,
tpch,mssql,18,44,0.3661794662475586,
tpch,mssql,18,45,0.48998069763183594,
tpch,mssql,18,46,0.28507280349731445,
tpch,mssql,18,47,0.4030280113220215,
tpch,mssql,18,48,0.4602837562561035,
tpch,mssql,18,49,0.4652690887451172,
tpch,mssql,18,50,0.4591386318206787,
tpch,mssql,19,1,0.6278102397918701,
tpch,mssql,19,2,0.26935911178588867,
tpch,mssql,19,3,0.10405635833740234,
tpch,mssql,19,4,0.18676137924194336,
tpch,mssql,19,5,0.1175241470336914,
tpch,mssql,19,6,0.22192001342773438,
tpch,mssql,19,7,0.12264132499694824,
tpch,mssql,19,8,0.15854358673095703,
tpch,mssql,19,9,0.20227813720703125,
tpch,mssql,19,10,0.2612602710723877,
tpch,mssql,19,11,0.15041184425354004,
tpch,mssql,19,12,0.2571754455566406,
tpch,mssql,19,13,0.16921424865722656,
tpch,mssql,19,14,0.1516399383544922,
tpch,mssql,19,15,0.1736140251159668,
tpch,mssql,19,16,0.26381635665893555,
tpch,mssql,19,17,0.1301746368408203,
tpch,mssql,19,18,0.19291234016418457,
tpch,mssql,19,19,0.19665813446044922,
tpch,mssql,19,20,0.22535157203674316,
tpch,mssql,19,21,0.16661906242370605,
tpch,mssql,19,22,0.23206567764282227,
tpch,mssql,19,23,0.19307303428649902,
tpch,mssql,19,24,0.14400124549865723,
tpch,mssql,19,25,0.12247323989868164,
tpch,mssql,19,26,0.12602591514587402,
tpch,mssql,19,27,0.2483839988708496,
tpch,mssql,19,28,0.15196466445922852,
tpch,mssql,19,29,0.17559170722961426,
tpch,mssql,19,30,0.1215362548828125,
tpch,mssql,19,31,0.24402928352355957,
tpch,mssql,19,32,0.1605677604675293,
tpch,mssql,19,33,0.19487214088439941,
tpch,mssql,19,34,0.21562409400939941,
tpch,mssql,19,35,0.16702556610107422,
tpch,mssql,19,36,0.196547269821167,
tpch,mssql,19,37,0.22754144668579102,
tpch,mssql,19,38,0.10330414772033691,
tpch,mssql,19,39,0.09715676307678223,
tpch,mssql,19,40,0.22111129760742188,
tpch,mssql,19,41,0.2591733932495117,
tpch,mssql,19,42,0.17373085021972656,
tpch,mssql,19,43,0.17359209060668945,
tpch,mssql,19,44,0.23706436157226562,
tpch,mssql,19,45,0.1972203254699707,
tpch,mssql,19,46,0.17650985717773438,
tpch,mssql,19,47,0.15302014350891113,
tpch,mssql,19,48,0.22549104690551758,
tpch,mssql,19,49,0.15102291107177734,
tpch,mssql,19,50,0.18187737464904785,
tpch,mssql,20,1,4.010238885879517,
tpch,mssql,20,2,0.47327494621276855,
tpch,mssql,20,3,0.3816237449645996,
tpch,mssql,20,4,0.49332737922668457,
tpch,mssql,20,5,0.43459630012512207,
tpch,mssql,20,6,0.2991483211517334,
tpch,mssql,20,7,0.3171813488006592,
tpch,mssql,20,8,0.33301353454589844,
tpch,mssql,20,9,0.3777599334716797,
tpch,mssql,20,10,0.33301663398742676,
tpch,mssql,20,11,0.47750091552734375,
tpch,mssql,20,12,0.33576345443725586,
tpch,mssql,20,13,0.3821382522583008,
tpch,mssql,20,14,0.4054133892059326,
tpch,mssql,20,15,0.37651491165161133,
tpch,mssql,20,16,0.37219858169555664,
tpch,mssql,20,17,0.3104214668273926,
tpch,mssql,20,18,0.36031150817871094,
tpch,mssql,20,19,0.2703816890716553,
tpch,mssql,20,20,0.29740476608276367,
tpch,mssql,20,21,0.2853584289550781,
tpch,mssql,20,22,0.32534313201904297,
tpch,mssql,20,23,0.2996840476989746,
tpch,mssql,20,24,0.3092000484466553,
tpch,mssql,20,25,0.2999730110168457,
tpch,mssql,20,26,0.2808036804199219,
tpch,mssql,20,27,0.3204951286315918,
tpch,mssql,20,28,0.2939271926879883,
tpch,mssql,20,29,0.21179866790771484,
tpch,mssql,20,30,0.24846482276916504,
tpch,mssql,20,31,0.3770442008972168,
tpch,mssql,20,32,0.46888089179992676,
tpch,mssql,20,33,0.34807562828063965,
tpch,mssql,20,34,0.2825469970703125,
tpch,mssql,20,35,0.353381872177124,
tpch,mssql,20,36,0.29428601264953613,
tpch,mssql,20,37,0.26606059074401855,
tpch,mssql,20,38,0.3125276565551758,
tpch,mssql,20,39,0.38388633728027344,
tpch,mssql,20,40,0.3812398910522461,
tpch,mssql,20,41,0.3801131248474121,
tpch,mssql,20,42,0.36537790298461914,
tpch,mssql,20,43,0.3770444393157959,
tpch,mssql,20,44,0.2731168270111084,
tpch,mssql,20,45,0.33341360092163086,
tpch,mssql,20,46,0.38236284255981445,
tpch,mssql,20,47,0.39266538619995117,
tpch,mssql,20,48,0.35868000984191895,
tpch,mssql,20,49,0.3909645080566406,
tpch,mssql,20,50,0.29686522483825684,
